Time,ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_0::Des Latent Heat Load [W],ZONE_0::Des Latent Cool Load [W],ZONE_0::Des Latent Heat Mass Flow [kg/s],ZONE_0::Des Latent Cool Mass Flow [kg/s],ZONE_0::Des Heat Load No DOAS [W],ZONE_0::Des Sens Cool Load No DOAS [W],ZONE_0::Des Latent Heat Load No DOAS [W],ZONE_0::Des Latent Cool Load No DOAS [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%]
00:10:00,4.596762E+03,2.775342E+02,3.025385E-01,1.941560E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999029E+01,2.296220E+01,2.599309E+01,7.204178E+01
00:20:00,4.616354E+03,2.632276E+02,3.038278E-01,1.841453E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999022E+01,2.297282E+01,2.599329E+01,7.221309E+01
00:30:00,4.644904E+03,2.492388E+02,3.057064E-01,1.743570E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999015E+01,2.298926E+01,2.599349E+01,7.245265E+01
00:40:00,4.682267E+03,2.355636E+02,3.081648E-01,1.647881E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999008E+01,2.300624E+01,2.599367E+01,7.274456E+01
00:50:00,4.728335E+03,2.221977E+02,3.111958E-01,1.554357E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999002E+01,2.302208E+01,2.599385E+01,7.306675E+01
01:00:00,4.783028E+03,2.091379E+02,3.147943E-01,1.462974E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998996E+01,2.303726E+01,2.599403E+01,7.340415E+01
01:10:00,4.831367E+03,2.004798E+02,3.179743E-01,1.402390E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998990E+01,2.305231E+01,2.599420E+01,7.374949E+01
01:20:00,4.872754E+03,1.916696E+02,3.206970E-01,1.340743E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998988E+01,2.306179E+01,2.599442E+01,7.409221E+01
01:30:00,4.907276E+03,1.827123E+02,3.229681E-01,1.278069E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998988E+01,2.306723E+01,2.599462E+01,7.442934E+01
01:40:00,4.935023E+03,1.735949E+02,3.247935E-01,1.214276E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998987E+01,2.307168E+01,2.599487E+01,7.476236E+01
01:50:00,4.956063E+03,1.643117E+02,3.261776E-01,1.149325E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998986E+01,2.307622E+01,2.599512E+01,7.509471E+01
02:00:00,4.970438E+03,1.548622E+02,3.271233E-01,1.083210E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998984E+01,2.308074E+01,2.599537E+01,7.542881E+01
02:10:00,4.982297E+03,1.465216E+02,3.279035E-01,1.024853E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998983E+01,2.308504E+01,2.599562E+01,7.576559E+01
02:20:00,4.991696E+03,1.392870E+02,3.285219E-01,9.742350E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998983E+01,2.308709E+01,2.599567E+01,7.605579E+01
02:30:00,4.998630E+03,1.331733E+02,3.289781E-01,9.314605E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998984E+01,2.308734E+01,2.599572E+01,7.628348E+01
02:40:00,5.003068E+03,1.281979E+02,3.292701E-01,8.966505E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998984E+01,2.308694E+01,2.599578E+01,7.646072E+01
02:50:00,5.004962E+03,1.243720E+02,3.293947E-01,8.698829E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998984E+01,2.308630E+01,2.599584E+01,7.660605E+01
03:00:00,5.004256E+03,1.217001E+02,3.293482E-01,8.511899E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998985E+01,2.308537E+01,2.599590E+01,7.673337E+01
03:10:00,5.003768E+03,1.180563E+02,3.293162E-01,8.257008E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998985E+01,2.308404E+01,2.599596E+01,7.685035E+01
03:20:00,5.003814E+03,1.134092E+02,3.293192E-01,7.931935E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998984E+01,2.308454E+01,2.599626E+01,7.692427E+01
03:30:00,5.004515E+03,1.077134E+02,3.293654E-01,7.533502E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998984E+01,2.308653E+01,2.599657E+01,7.694971E+01
