Time,ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_0::Des Latent Heat Load [W],ZONE_0::Des Latent Cool Load [W],ZONE_0::Des Latent Heat Mass Flow [kg/s],ZONE_0::Des Latent Cool Mass Flow [kg/s],ZONE_0::Des Heat Load No DOAS [W],ZONE_0::Des Sens Cool Load No DOAS [W],ZONE_0::Des Latent Heat Load No DOAS [W],ZONE_0::Des Latent Cool Load No DOAS [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%]
00:10:00,3.739475E+03,1.593350E+03,2.461145E-01,1.115387E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999022E+01,2.221416E+01,2.598253E+01,5.549700E+01
00:20:00,3.770981E+03,1.585144E+03,2.481878E-01,1.109659E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999009E+01,2.225083E+01,2.598259E+01,5.561869E+01
00:30:00,3.816083E+03,1.575034E+03,2.511555E-01,1.102595E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998997E+01,2.230943E+01,2.598266E+01,5.576232E+01
00:40:00,3.874265E+03,1.562964E+03,2.549838E-01,1.094159E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998989E+01,2.236916E+01,2.598271E+01,5.591923E+01
00:50:00,3.945088E+03,1.548892E+03,2.596438E-01,1.084320E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998982E+01,2.242208E+01,2.598275E+01,5.608151E+01
01:00:00,4.028184E+03,1.532788E+03,2.651114E-01,1.073059E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998977E+01,2.246956E+01,2.598279E+01,5.624615E+01
01:10:00,4.100572E+03,1.512175E+03,2.698741E-01,1.058625E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998971E+01,2.251400E+01,2.598284E+01,5.641297E+01
01:20:00,4.161232E+03,1.493238E+03,2.738653E-01,1.045365E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998973E+01,2.253976E+01,2.598279E+01,5.654381E+01
01:30:00,4.210595E+03,1.476123E+03,2.771134E-01,1.033382E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998976E+01,2.255168E+01,2.598276E+01,5.663702E+01
01:40:00,4.249060E+03,1.460935E+03,2.796446E-01,1.022748E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998976E+01,2.256001E+01,2.598277E+01,5.670988E+01
