1,"eplusout.eso"

"Date/Time","[1] Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area  (W/m2)"
,"SHADER_0"
"Year 1 Jan 01 1:00 AM","0"
"Year 1 Jan 01 2:00 AM","0"
"Year 1 Jan 01 3:00 AM","0"
"Year 1 Jan 01 4:00 AM","0"
"Year 1 Jan 01 5:00 AM","0"
"Year 1 Jan 01 6:00 AM","0"
"Year 1 Jan 01 7:00 AM","0"
"Year 1 Jan 01 8:00 AM","6.42675557694255"
"Year 1 Jan 01 9:00 AM","26.134467444694"
"Year 1 Jan 01 10:00 AM","36.5332787691016"
"Year 1 Jan 01 11:00 AM","44.4932072968995"
"Year 1 Jan 01 12:00 PM","62.1582360845504"
"Year 1 Jan 01 1:00 PM","80.912113599479"
"Year 1 Jan 01 2:00 PM","83.4875090210219"
"Year 1 Jan 01 3:00 PM","68.6516571936453"
"Year 1 Jan 01 4:00 PM","33.3273921158355"
"Year 1 Jan 01 5:00 PM","4.59515627568932"
"Year 1 Jan 01 6:00 PM","0"
"Year 1 Jan 01 7:00 PM","0"
"Year 1 Jan 01 8:00 PM","0"
"Year 1 Jan 01 9:00 PM","0"
"Year 1 Jan 01 10:00 PM","0"
"Year 1 Jan 01 11:00 PM","0"
"Year 1 Jan 02 12:00 AM","0"
"Year 1 Jan 02 1:00 AM","0"
"Year 1 Jan 02 2:00 AM","0"
"Year 1 Jan 02 3:00 AM","0"
"Year 1 Jan 02 4:00 AM","0"
"Year 1 Jan 02 5:00 AM","0"
"Year 1 Jan 02 6:00 AM","0"
"Year 1 Jan 02 7:00 AM","0"
"Year 1 Jan 02 8:00 AM","4.79003778873393"
"Year 1 Jan 02 9:00 AM","22.3308757931764"
"Year 1 Jan 02 10:00 AM","46.078865911311"
"Year 1 Jan 02 11:00 AM","55.1684537383279"
"Year 1 Jan 02 12:00 PM","67.6086368535137"
"Year 1 Jan 02 1:00 PM","77.1087269838221"
"Year 1 Jan 02 2:00 PM","80.0108577154864"
"Year 1 Jan 02 3:00 PM","68.1130501741485"
"Year 1 Jan 02 4:00 PM","39.2318520005038"
"Year 1 Jan 02 5:00 PM","8.51752738566731"
"Year 1 Jan 02 6:00 PM","0"
"Year 1 Jan 02 7:00 PM","0"
"Year 1 Jan 02 8:00 PM","0"
"Year 1 Jan 02 9:00 PM","0"
"Year 1 Jan 02 10:00 PM","0"
"Year 1 Jan 02 11:00 PM","0"
"Year 1 Jan 03 12:00 AM","0"
"Year 1 Jan 03 1:00 AM","0"
"Year 1 Jan 03 2:00 AM","0"
"Year 1 Jan 03 3:00 AM","0"
"Year 1 Jan 03 4:00 AM","0"
"Year 1 Jan 03 5:00 AM","0"
"Year 1 Jan 03 6:00 AM","0"
"Year 1 Jan 03 7:00 AM","0"
"Year 1 Jan 03 8:00 AM","8.78489552233534"
"Year 1 Jan 03 9:00 AM","33.9959427549965"
"Year 1 Jan 03 10:00 AM","61.1246757777585"
"Year 1 Jan 03 11:00 AM","77.3429612287965"
"Year 1 Jan 03 12:00 PM","80.9258391800745"
"Year 1 Jan 03 1:00 PM","91.0550988331523"
"Year 1 Jan 03 2:00 PM","104.598210176596"
"Year 1 Jan 03 3:00 PM","94.6341888813621"
"Year 1 Jan 03 4:00 PM","76.6245054928201"
"Year 1 Jan 03 5:00 PM","18.3636305732815"
"Year 1 Jan 03 6:00 PM","0"
"Year 1 Jan 03 7:00 PM","0"
"Year 1 Jan 03 8:00 PM","0"
"Year 1 Jan 03 9:00 PM","0"
"Year 1 Jan 03 10:00 PM","0"
"Year 1 Jan 03 11:00 PM","0"
"Year 1 Jan 04 12:00 AM","0"
"Year 1 Jan 04 1:00 AM","0"
"Year 1 Jan 04 2:00 AM","0"
"Year 1 Jan 04 3:00 AM","0"
"Year 1 Jan 04 4:00 AM","0"
"Year 1 Jan 04 5:00 AM","0"
"Year 1 Jan 04 6:00 AM","0"
"Year 1 Jan 04 7:00 AM","0"
"Year 1 Jan 04 8:00 AM","8.44383231899739"
"Year 1 Jan 04 9:00 AM","31.130462067713"
"Year 1 Jan 04 10:00 AM","51.0949096495331"
"Year 1 Jan 04 11:00 AM","68.2532459317414"
"Year 1 Jan 04 12:00 PM","73.2499343678342"
"Year 1 Jan 04 1:00 PM","79.4012815783572"
"Year 1 Jan 04 2:00 PM","76.176112690784"
"Year 1 Jan 04 3:00 PM","73.2485544372148"
"Year 1 Jan 04 4:00 PM","48.3784228829148"
"Year 1 Jan 04 5:00 PM","12.5191748784748"
"Year 1 Jan 04 6:00 PM","0"
"Year 1 Jan 04 7:00 PM","0"
"Year 1 Jan 04 8:00 PM","0"
"Year 1 Jan 04 9:00 PM","0"
"Year 1 Jan 04 10:00 PM","0"
"Year 1 Jan 04 11:00 PM","0"
"Year 1 Jan 05 12:00 AM","0"
"Year 1 Jan 05 1:00 AM","0"
"Year 1 Jan 05 2:00 AM","0"
"Year 1 Jan 05 3:00 AM","0"
"Year 1 Jan 05 4:00 AM","0"
"Year 1 Jan 05 5:00 AM","0"
"Year 1 Jan 05 6:00 AM","0"
"Year 1 Jan 05 7:00 AM","0"
"Year 1 Jan 05 8:00 AM","8.73702616507683"
"Year 1 Jan 05 9:00 AM","25.692520851055"
"Year 1 Jan 05 10:00 AM","32.5207101325329"
"Year 1 Jan 05 11:00 AM","35.9396853587946"
"Year 1 Jan 05 12:00 PM","37.742218663299"
"Year 1 Jan 05 1:00 PM","50.0448892572009"
"Year 1 Jan 05 2:00 PM","74.4637931235159"
"Year 1 Jan 05 3:00 PM","98.4015605533634"
"Year 1 Jan 05 4:00 PM","81.1324901383322"
"Year 1 Jan 05 5:00 PM","15.8502397847182"
"Year 1 Jan 05 6:00 PM","0"
"Year 1 Jan 05 7:00 PM","0"
"Year 1 Jan 05 8:00 PM","0"
"Year 1 Jan 05 9:00 PM","0"
"Year 1 Jan 05 10:00 PM","0"
"Year 1 Jan 05 11:00 PM","0"
"Year 1 Jan 06 12:00 AM","0"
"Year 1 Jan 06 1:00 AM","0"
"Year 1 Jan 06 2:00 AM","0"
"Year 1 Jan 06 3:00 AM","0"
"Year 1 Jan 06 4:00 AM","0"
"Year 1 Jan 06 5:00 AM","0"
"Year 1 Jan 06 6:00 AM","0"
"Year 1 Jan 06 7:00 AM","0"
"Year 1 Jan 06 8:00 AM","8.36798925108942"
"Year 1 Jan 06 9:00 AM","27.1927771822552"
"Year 1 Jan 06 10:00 AM","38.4206580640686"
"Year 1 Jan 06 11:00 AM","56.3767214416454"
"Year 1 Jan 06 12:00 PM","66.0089829610756"
"Year 1 Jan 06 1:00 PM","79.6845302057241"
"Year 1 Jan 06 2:00 PM","68.1940807467261"
"Year 1 Jan 06 3:00 PM","91.3162965771336"
"Year 1 Jan 06 4:00 PM","98.8572341902476"
"Year 1 Jan 06 5:00 PM","21.5681766323131"
"Year 1 Jan 06 6:00 PM","0"
"Year 1 Jan 06 7:00 PM","0"
"Year 1 Jan 06 8:00 PM","0"
"Year 1 Jan 06 9:00 PM","0"
"Year 1 Jan 06 10:00 PM","0"
"Year 1 Jan 06 11:00 PM","0"
"Year 1 Jan 07 12:00 AM","0"
"Year 1 Jan 07 1:00 AM","0"
"Year 1 Jan 07 2:00 AM","0"
"Year 1 Jan 07 3:00 AM","0"
"Year 1 Jan 07 4:00 AM","0"
"Year 1 Jan 07 5:00 AM","0"
"Year 1 Jan 07 6:00 AM","0"
"Year 1 Jan 07 7:00 AM","0"
"Year 1 Jan 07 8:00 AM","7.18301327770186"
"Year 1 Jan 07 9:00 AM","20.9337386892607"
"Year 1 Jan 07 10:00 AM","29.421034281566"
"Year 1 Jan 07 11:00 AM","33.7637551940958"
"Year 1 Jan 07 12:00 PM","35.5119022161943"
"Year 1 Jan 07 1:00 PM","42.421277360395"
"Year 1 Jan 07 2:00 PM","50.7882791715703"
"Year 1 Jan 07 3:00 PM","55.2765833089077"
"Year 1 Jan 07 4:00 PM","64.5230055200634"
"Year 1 Jan 07 5:00 PM","17.7152403773371"
"Year 1 Jan 07 6:00 PM","0"
"Year 1 Jan 07 7:00 PM","0"
"Year 1 Jan 07 8:00 PM","0"
"Year 1 Jan 07 9:00 PM","0"
"Year 1 Jan 07 10:00 PM","0"
"Year 1 Jan 07 11:00 PM","0"
"Year 1 Jan 08 12:00 AM","0"
"Year 1 Jan 08 1:00 AM","0"
"Year 1 Jan 08 2:00 AM","0"
"Year 1 Jan 08 3:00 AM","0"
"Year 1 Jan 08 4:00 AM","0"
"Year 1 Jan 08 5:00 AM","0"
"Year 1 Jan 08 6:00 AM","0"
"Year 1 Jan 08 7:00 AM","0"
"Year 1 Jan 08 8:00 AM","7.55587326211853"
"Year 1 Jan 08 9:00 AM","22.1187199958575"
"Year 1 Jan 08 10:00 AM","34.4533659978422"
"Year 1 Jan 08 11:00 AM","46.4641564318993"
"Year 1 Jan 08 12:00 PM","60.5175605346673"
"Year 1 Jan 08 1:00 PM","62.5008623649776"
"Year 1 Jan 08 2:00 PM","71.9993130477359"
"Year 1 Jan 08 3:00 PM","67.26816569494"
"Year 1 Jan 08 4:00 PM","71.2747872035506"
"Year 1 Jan 08 5:00 PM","21.5289637223174"
"Year 1 Jan 08 6:00 PM","0"
"Year 1 Jan 08 7:00 PM","0"
"Year 1 Jan 08 8:00 PM","0"
"Year 1 Jan 08 9:00 PM","0"
"Year 1 Jan 08 10:00 PM","0"
"Year 1 Jan 08 11:00 PM","0"
"Year 1 Jan 09 12:00 AM","0"
"Year 1 Jan 09 1:00 AM","0"
"Year 1 Jan 09 2:00 AM","0"
"Year 1 Jan 09 3:00 AM","0"
"Year 1 Jan 09 4:00 AM","0"
"Year 1 Jan 09 5:00 AM","0"
"Year 1 Jan 09 6:00 AM","0"
"Year 1 Jan 09 7:00 AM","0"
"Year 1 Jan 09 8:00 AM","8.06150674612093"
"Year 1 Jan 09 9:00 AM","30.731083872206"
"Year 1 Jan 09 10:00 AM","56.571279550261"
"Year 1 Jan 09 11:00 AM","74.2504803664899"
"Year 1 Jan 09 12:00 PM","74.9956246309625"
"Year 1 Jan 09 1:00 PM","98.0237114359621"
"Year 1 Jan 09 2:00 PM","104.157349035168"
"Year 1 Jan 09 3:00 PM","105.106095244635"
"Year 1 Jan 09 4:00 PM","82.99762550371"
"Year 1 Jan 09 5:00 PM","18.5364617629178"
"Year 1 Jan 09 6:00 PM","0"
"Year 1 Jan 09 7:00 PM","0"
"Year 1 Jan 09 8:00 PM","0"
"Year 1 Jan 09 9:00 PM","0"
"Year 1 Jan 09 10:00 PM","0"
"Year 1 Jan 09 11:00 PM","0"
"Year 1 Jan 10 12:00 AM","0"
"Year 1 Jan 10 1:00 AM","0"
"Year 1 Jan 10 2:00 AM","0"
"Year 1 Jan 10 3:00 AM","0"
"Year 1 Jan 10 4:00 AM","0"
"Year 1 Jan 10 5:00 AM","0"
"Year 1 Jan 10 6:00 AM","0"
"Year 1 Jan 10 7:00 AM","0"
"Year 1 Jan 10 8:00 AM","8.10877639530555"
"Year 1 Jan 10 9:00 AM","26.0421291385322"
"Year 1 Jan 10 10:00 AM","35.0660618939599"
"Year 1 Jan 10 11:00 AM","40.167622052728"
"Year 1 Jan 10 12:00 PM","45.6933671406358"
"Year 1 Jan 10 1:00 PM","58.1707569717357"
"Year 1 Jan 10 2:00 PM","74.9407799749976"
