Time,ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_0::Des Latent Heat Load [W],ZONE_0::Des Latent Cool Load [W],ZONE_0::Des Latent Heat Mass Flow [kg/s],ZONE_0::Des Latent Cool Mass Flow [kg/s],ZONE_0::Des Heat Load No DOAS [W],ZONE_0::Des Sens Cool Load No DOAS [W],ZONE_0::Des Latent Heat Load No DOAS [W],ZONE_0::Des Latent Cool Load No DOAS [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%]
00:10:00,4.418245E+03,4.088721E+02,2.907884E-01,2.860748E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999024E+01,2.282838E+01,2.599114E+01,6.884328E+01
00:20:00,4.439527E+03,3.903322E+02,2.921890E-01,2.731003E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999018E+01,2.284144E+01,2.599133E+01,6.902005E+01
00:30:00,4.469743E+03,3.722028E+02,2.941772E-01,2.604131E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999010E+01,2.286102E+01,2.599151E+01,6.925918E+01
00:40:00,4.508746E+03,3.544733E+02,2.967435E-01,2.480056E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999003E+01,2.288118E+01,2.599168E+01,6.954371E+01
00:50:00,4.556426E+03,3.371332E+02,2.998806E-01,2.358704E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998997E+01,2.289996E+01,2.599183E+01,6.985271E+01
01:00:00,4.612704E+03,3.201732E+02,3.035834E-01,2.240012E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998991E+01,2.291790E+01,2.599198E+01,7.017292E+01
01:10:00,4.662557E+03,3.100475E+02,3.068631E-01,2.169144E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998985E+01,2.293563E+01,2.599214E+01,7.049862E+01
01:20:00,4.705423E+03,2.997750E+02,3.096832E-01,2.097251E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998983E+01,2.294711E+01,2.599232E+01,7.081997E+01
01:30:00,4.741395E+03,2.893548E+02,3.120497E-01,2.024327E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998983E+01,2.295407E+01,2.599252E+01,7.113501E+01
01:40:00,4.770570E+03,2.787854E+02,3.139691E-01,1.950359E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998982E+01,2.295988E+01,2.599272E+01,7.144629E+01
