1,"eplusout.eso"

"Date/Time","[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2)"
,"ZONE_0:F5"
"Year 1 Jan 01 1:00 AM","0"
"Year 1 Jan 01 2:00 AM","0"
"Year 1 Jan 01 3:00 AM","0"
"Year 1 Jan 01 4:00 AM","0"
"Year 1 Jan 01 5:00 AM","0"
"Year 1 Jan 01 6:00 AM","0"
"Year 1 Jan 01 7:00 AM","0"
"Year 1 Jan 01 8:00 AM","14.3653411770046"
"Year 1 Jan 01 9:00 AM","109.580327215632"
"Year 1 Jan 01 10:00 AM","233.58712333818"
"Year 1 Jan 01 11:00 AM","323.174359974738"
"Year 1 Jan 01 12:00 PM","307.439861832063"
"Year 1 Jan 01 1:00 PM","181.608880561015"
"Year 1 Jan 01 2:00 PM","120.716477474338"
"Year 1 Jan 01 3:00 PM","79.8066388040153"
"Year 1 Jan 01 4:00 PM","30.1882093042404"
"Year 1 Jan 01 5:00 PM","3.00276738706908"
"Year 1 Jan 01 6:00 PM","0"
"Year 1 Jan 01 7:00 PM","0"
"Year 1 Jan 01 8:00 PM","0"
"Year 1 Jan 01 9:00 PM","0"
"Year 1 Jan 01 10:00 PM","0"
"Year 1 Jan 01 11:00 PM","0"
"Year 1 Jan 02 12:00 AM","0"
"Year 1 Jan 02 1:00 AM","0"
"Year 1 Jan 02 2:00 AM","0"
"Year 1 Jan 02 3:00 AM","0"
"Year 1 Jan 02 4:00 AM","0"
"Year 1 Jan 02 5:00 AM","0"
"Year 1 Jan 02 6:00 AM","0"
"Year 1 Jan 02 7:00 AM","0"
"Year 1 Jan 02 8:00 AM","6.56362532408362"
"Year 1 Jan 02 9:00 AM","32.3133607505655"
"Year 1 Jan 02 10:00 AM","70.5003667655949"
"Year 1 Jan 02 11:00 AM","83.1960533298728"
"Year 1 Jan 02 12:00 PM","106.018448799964"
"Year 1 Jan 02 1:00 PM","111.279929481531"
"Year 1 Jan 02 2:00 PM","97.6279473771521"
"Year 1 Jan 02 3:00 PM","68.9593278869628"
"Year 1 Jan 02 4:00 PM","30.8432253032327"
"Year 1 Jan 02 5:00 PM","4.19619521663398"
"Year 1 Jan 02 6:00 PM","0"
"Year 1 Jan 02 7:00 PM","0"
"Year 1 Jan 02 8:00 PM","0"
"Year 1 Jan 02 9:00 PM","0"
"Year 1 Jan 02 10:00 PM","0"
"Year 1 Jan 02 11:00 PM","0"
"Year 1 Jan 03 12:00 AM","0"
"Year 1 Jan 03 1:00 AM","0"
"Year 1 Jan 03 2:00 AM","0"
"Year 1 Jan 03 3:00 AM","0"
"Year 1 Jan 03 4:00 AM","0"
"Year 1 Jan 03 5:00 AM","0"
