1,"eplusout.eso"

"Date/Time","[1] Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area  (W/m2)"
,"ZONE_0:F3:W0"
"Year 1 Jan 01 1:00 AM","0"
"Year 1 Jan 01 2:00 AM","0"
"Year 1 Jan 01 3:00 AM","0"
"Year 1 Jan 01 4:00 AM","0"
"Year 1 Jan 01 5:00 AM","0"
"Year 1 Jan 01 6:00 AM","0"
"Year 1 Jan 01 7:00 AM","0"
"Year 1 Jan 01 8:00 AM","3.64753809453923"
"Year 1 Jan 01 9:00 AM","14.8238467763438"
"Year 1 Jan 01 10:00 AM","20.719109841778"
"Year 1 Jan 01 11:00 AM","25.2327073851412"
"Year 1 Jan 01 12:00 PM","35.0773472696946"
"Year 1 Jan 01 1:00 PM","37.4789571947255"
"Year 1 Jan 01 2:00 PM","33.1427390387411"
"Year 1 Jan 01 3:00 PM","21.5908313666455"
"Year 1 Jan 01 4:00 PM","9.93236318078415"
"Year 1 Jan 01 5:00 PM","1.16550918484923"
"Year 1 Jan 01 6:00 PM","0"
"Year 1 Jan 01 7:00 PM","0"
"Year 1 Jan 01 8:00 PM","0"
"Year 1 Jan 01 9:00 PM","0"
"Year 1 Jan 01 10:00 PM","0"
"Year 1 Jan 01 11:00 PM","0"
"Year 1 Jan 02 12:00 AM","0"
"Year 1 Jan 02 1:00 AM","0"
"Year 1 Jan 02 2:00 AM","0"
"Year 1 Jan 02 3:00 AM","0"
"Year 1 Jan 02 4:00 AM","0"
"Year 1 Jan 02 5:00 AM","0"
"Year 1 Jan 02 6:00 AM","0"
"Year 1 Jan 02 7:00 AM","0"
"Year 1 Jan 02 8:00 AM","2.72314844224343"
"Year 1 Jan 02 9:00 AM","12.6947036553537"
"Year 1 Jan 02 10:00 AM","26.193847628025"
"Year 1 Jan 02 11:00 AM","31.3605517266671"
"Year 1 Jan 02 12:00 PM","38.3559766962652"
"Year 1 Jan 02 1:00 PM","39.5360154510598"
"Year 1 Jan 02 2:00 PM","34.9273200820179"
"Year 1 Jan 02 3:00 PM","25.1341517582926"
"Year 1 Jan 02 4:00 PM","11.8033183060021"
"Year 1 Jan 02 5:00 PM","1.53780796093377"
"Year 1 Jan 02 6:00 PM","0"
"Year 1 Jan 02 7:00 PM","0"
"Year 1 Jan 02 8:00 PM","0"
"Year 1 Jan 02 9:00 PM","0"
"Year 1 Jan 02 10:00 PM","0"
"Year 1 Jan 02 11:00 PM","0"
"Year 1 Jan 03 12:00 AM","0"
"Year 1 Jan 03 1:00 AM","0"
"Year 1 Jan 03 2:00 AM","0"
"Year 1 Jan 03 3:00 AM","0"
"Year 1 Jan 03 4:00 AM","0"
"Year 1 Jan 03 5:00 AM","0"
"Year 1 Jan 03 6:00 AM","0"
"Year 1 Jan 03 7:00 AM","0"
"Year 1 Jan 03 8:00 AM","4.99392569901208"
"Year 1 Jan 03 9:00 AM","19.3252074712168"
"Year 1 Jan 03 10:00 AM","34.7451803420022"
"Year 1 Jan 03 11:00 AM","43.9633848420396"
"Year 1 Jan 03 12:00 PM","45.8911027620714"
"Year 1 Jan 03 1:00 PM","45.1806283213143"
"Year 1 Jan 03 2:00 PM","41.2700943609841"
"Year 1 Jan 03 3:00 PM","29.768931750101"
"Year 1 Jan 03 4:00 PM","15.4295525984721"
"Year 1 Jan 03 5:00 PM","2.03124646533502"
"Year 1 Jan 03 6:00 PM","0"
"Year 1 Jan 03 7:00 PM","0"
"Year 1 Jan 03 8:00 PM","0"
"Year 1 Jan 03 9:00 PM","0"
"Year 1 Jan 03 10:00 PM","0"
"Year 1 Jan 03 11:00 PM","0"
"Year 1 Jan 04 12:00 AM","0"
"Year 1 Jan 04 1:00 AM","0"
"Year 1 Jan 04 2:00 AM","0"
"Year 1 Jan 04 3:00 AM","0"
"Year 1 Jan 04 4:00 AM","0"
"Year 1 Jan 04 5:00 AM","0"
"Year 1 Jan 04 6:00 AM","0"
"Year 1 Jan 04 7:00 AM","0"
"Year 1 Jan 04 8:00 AM","4.80007455455399"
"Year 1 Jan 04 9:00 AM","17.6965535412937"
"Year 1 Jan 04 10:00 AM","29.0448673412862"
"Year 1 Jan 04 11:00 AM","38.7975231709572"
"Year 1 Jan 04 12:00 PM","41.5666471238385"
"Year 1 Jan 04 1:00 PM","40.7280431510339"
"Year 1 Jan 04 2:00 PM","34.025350768724"
"Year 1 Jan 04 3:00 PM","26.3453890366734"
"Year 1 Jan 04 4:00 PM","13.1037626343428"
"Year 1 Jan 04 5:00 PM","1.83741199164657"
"Year 1 Jan 04 6:00 PM","0"
"Year 1 Jan 04 7:00 PM","0"
"Year 1 Jan 04 8:00 PM","0"
"Year 1 Jan 04 9:00 PM","0"
"Year 1 Jan 04 10:00 PM","0"
"Year 1 Jan 04 11:00 PM","0"
"Year 1 Jan 05 12:00 AM","0"
"Year 1 Jan 05 1:00 AM","0"
"Year 1 Jan 05 2:00 AM","0"
"Year 1 Jan 05 3:00 AM","0"
"Year 1 Jan 05 4:00 AM","0"
"Year 1 Jan 05 5:00 AM","0"
"Year 1 Jan 05 6:00 AM","0"
"Year 1 Jan 05 7:00 AM","0"
"Year 1 Jan 05 8:00 AM","4.96016360584168"
"Year 1 Jan 05 9:00 AM","14.5738044893379"
"Year 1 Jan 05 10:00 AM","18.4395730256398"
"Year 1 Jan 05 11:00 AM","20.3756466210594"
"Year 1 Jan 05 12:00 PM","21.306571611299"
"Year 1 Jan 05 1:00 PM","21.7301775229779"
"Year 1 Jan 05 2:00 PM","22.8064545191823"
"Year 1 Jan 05 3:00 PM","23.026112241145"
"Year 1 Jan 05 4:00 PM","13.1495437132899"
"Year 1 Jan 05 5:00 PM","1.9309195202462"
"Year 1 Jan 05 6:00 PM","0"
"Year 1 Jan 05 7:00 PM","0"
"Year 1 Jan 05 8:00 PM","0"
"Year 1 Jan 05 9:00 PM","0"
"Year 1 Jan 05 10:00 PM","0"
"Year 1 Jan 05 11:00 PM","0"
"Year 1 Jan 06 12:00 AM","0"
"Year 1 Jan 06 1:00 AM","0"
"Year 1 Jan 06 2:00 AM","0"
"Year 1 Jan 06 3:00 AM","0"
"Year 1 Jan 06 4:00 AM","0"
"Year 1 Jan 06 5:00 AM","0"
"Year 1 Jan 06 6:00 AM","0"
"Year 1 Jan 06 7:00 AM","0"
"Year 1 Jan 06 8:00 AM","4.75004671874263"
"Year 1 Jan 06 9:00 AM","15.4247899815696"
"Year 1 Jan 06 10:00 AM","21.7905620149428"
"Year 1 Jan 06 11:00 AM","31.9938782211231"
"Year 1 Jan 06 12:00 PM","37.4312136786925"
"Year 1 Jan 06 1:00 PM","39.2010648137059"
"Year 1 Jan 06 2:00 PM","30.0537515959858"
"Year 1 Jan 06 3:00 PM","26.3849789940651"
"Year 1 Jan 06 4:00 PM","16.2932359600252"
"Year 1 Jan 06 5:00 PM","2.26118617529333"
"Year 1 Jan 06 6:00 PM","0"
"Year 1 Jan 06 7:00 PM","0"
"Year 1 Jan 06 8:00 PM","0"
"Year 1 Jan 06 9:00 PM","0"
"Year 1 Jan 06 10:00 PM","0"
"Year 1 Jan 06 11:00 PM","0"
"Year 1 Jan 07 12:00 AM","0"
"Year 1 Jan 07 1:00 AM","0"
"Year 1 Jan 07 2:00 AM","0"
"Year 1 Jan 07 3:00 AM","0"
"Year 1 Jan 07 4:00 AM","0"
"Year 1 Jan 07 5:00 AM","0"
"Year 1 Jan 07 6:00 AM","0"
"Year 1 Jan 07 7:00 AM","0"
"Year 1 Jan 07 8:00 AM","4.07428027988676"
"Year 1 Jan 07 9:00 AM","11.8691847524613"
"Year 1 Jan 07 10:00 AM","16.6806984525102"
"Year 1 Jan 07 11:00 AM","19.1428821216348"
"Year 1 Jan 07 12:00 PM","20.0924132793067"
"Year 1 Jan 07 1:00 PM","19.9716525247602"
"Year 1 Jan 07 2:00 PM","18.5405425536707"
"Year 1 Jan 07 3:00 PM","15.554270775238"
"Year 1 Jan 07 4:00 PM","10.1699957545428"
"Year 1 Jan 07 5:00 PM","2.42913677356691"
"Year 1 Jan 07 6:00 PM","0"
"Year 1 Jan 07 7:00 PM","0"
"Year 1 Jan 07 8:00 PM","0"
"Year 1 Jan 07 9:00 PM","0"
"Year 1 Jan 07 10:00 PM","0"
"Year 1 Jan 07 11:00 PM","0"
"Year 1 Jan 08 12:00 AM","0"
"Year 1 Jan 08 1:00 AM","0"
"Year 1 Jan 08 2:00 AM","0"
"Year 1 Jan 08 3:00 AM","0"
"Year 1 Jan 08 4:00 AM","0"
"Year 1 Jan 08 5:00 AM","0"
"Year 1 Jan 08 6:00 AM","0"
"Year 1 Jan 08 7:00 AM","0"
"Year 1 Jan 08 8:00 AM","4.28602127444871"
"Year 1 Jan 08 9:00 AM","12.5418906656947"
"Year 1 Jan 08 10:00 AM","19.5376591603907"
"Year 1 Jan 08 11:00 AM","26.3510330235339"
"Year 1 Jan 08 12:00 PM","34.2470892947323"
"Year 1 Jan 08 1:00 PM","26.7614461059749"
"Year 1 Jan 08 2:00 PM","22.4214955407569"
"Year 1 Jan 08 3:00 PM","15.7345153955297"
"Year 1 Jan 08 4:00 PM","11.02246816144"
"Year 1 Jan 08 5:00 PM","2.58420817590584"
"Year 1 Jan 08 6:00 PM","0"
"Year 1 Jan 08 7:00 PM","0"
"Year 1 Jan 08 8:00 PM","0"
"Year 1 Jan 08 9:00 PM","0"
"Year 1 Jan 08 10:00 PM","0"
"Year 1 Jan 08 11:00 PM","0"
"Year 1 Jan 09 12:00 AM","0"
"Year 1 Jan 09 1:00 AM","0"
"Year 1 Jan 09 2:00 AM","0"
"Year 1 Jan 09 3:00 AM","0"
"Year 1 Jan 09 4:00 AM","0"
"Year 1 Jan 09 5:00 AM","0"
"Year 1 Jan 09 6:00 AM","0"
"Year 1 Jan 09 7:00 AM","0"
"Year 1 Jan 09 8:00 AM","4.57916350650088"
"Year 1 Jan 09 9:00 AM","17.4499444693922"
"Year 1 Jan 09 10:00 AM","32.1284600345542"
"Year 1 Jan 09 11:00 AM","42.1763299669011"
"Year 1 Jan 09 12:00 PM","42.5109074965182"
"Year 1 Jan 09 1:00 PM","44.2535109771969"
"Year 1 Jan 09 2:00 PM","35.591691857172"
"Year 1 Jan 09 3:00 PM","24.7649165799146"
"Year 1 Jan 09 4:00 PM","13.9518558589687"
"Year 1 Jan 09 5:00 PM","2.53007276652666"
"Year 1 Jan 09 6:00 PM","0"
"Year 1 Jan 09 7:00 PM","0"
"Year 1 Jan 09 8:00 PM","0"
"Year 1 Jan 09 9:00 PM","0"
"Year 1 Jan 09 10:00 PM","0"
"Year 1 Jan 09 11:00 PM","0"
"Year 1 Jan 10 12:00 AM","0"
"Year 1 Jan 10 1:00 AM","0"
"Year 1 Jan 10 2:00 AM","0"
"Year 1 Jan 10 3:00 AM","0"
"Year 1 Jan 10 4:00 AM","0"
"Year 1 Jan 10 5:00 AM","0"
"Year 1 Jan 10 6:00 AM","0"
"Year 1 Jan 10 7:00 AM","0"
"Year 1 Jan 10 8:00 AM","4.60189314595329"
"Year 1 Jan 10 9:00 AM","14.7710438901622"
"Year 1 Jan 10 10:00 AM","19.8856499117914"
"Year 1 Jan 10 11:00 AM","22.7763263370146"
"Year 1 Jan 10 12:00 PM","25.8762678737785"
"Year 1 Jan 10 1:00 PM","25.7475403101094"
