1,"eplusout.eso"

"Date/Time","[1] Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area  (W/m2)"
,"ZONE_0:F3:W0"
"Year 1 Jan 01 1:00 AM","0"
"Year 1 Jan 01 2:00 AM","0"
"Year 1 Jan 01 3:00 AM","0"
"Year 1 Jan 01 4:00 AM","0"
"Year 1 Jan 01 5:00 AM","0"
"Year 1 Jan 01 6:00 AM","0"
"Year 1 Jan 01 7:00 AM","0"
"Year 1 Jan 01 8:00 AM","3.64754025484162"
"Year 1 Jan 01 9:00 AM","14.8238532181728"
"Year 1 Jan 01 10:00 AM","20.7191180329883"
"Year 1 Jan 01 11:00 AM","25.2327171729578"
"Year 1 Jan 01 12:00 PM","35.0773672168775"
"Year 1 Jan 01 1:00 PM","37.4789863415436"
"Year 1 Jan 01 2:00 PM","33.1427695782967"
"Year 1 Jan 01 3:00 PM","21.5908495116558"
"Year 1 Jan 01 4:00 PM","9.93237225916961"
"Year 1 Jan 01 5:00 PM","1.16551029158676"
"Year 1 Jan 01 6:00 PM","0"
"Year 1 Jan 01 7:00 PM","0"
"Year 1 Jan 01 8:00 PM","0"
"Year 1 Jan 01 9:00 PM","0"
"Year 1 Jan 01 10:00 PM","0"
"Year 1 Jan 01 11:00 PM","0"
"Year 1 Jan 02 12:00 AM","0"
"Year 1 Jan 02 1:00 AM","0"
"Year 1 Jan 02 2:00 AM","0"
"Year 1 Jan 02 3:00 AM","0"
"Year 1 Jan 02 4:00 AM","0"
"Year 1 Jan 02 5:00 AM","0"
"Year 1 Jan 02 6:00 AM","0"
"Year 1 Jan 02 7:00 AM","0"
"Year 1 Jan 02 8:00 AM","2.72315124648052"
"Year 1 Jan 02 9:00 AM","12.6947166088182"
"Year 1 Jan 02 10:00 AM","26.1938740507271"
"Year 1 Jan 02 11:00 AM","31.3605832735332"
"Year 1 Jan 02 12:00 PM","38.3560150659754"
"Year 1 Jan 02 1:00 PM","39.5360549500432"
"Year 1 Jan 02 2:00 PM","34.9273550680029"
"Year 1 Jan 02 3:00 PM","25.1341770954256"
"Year 1 Jan 02 4:00 PM","11.8033303277089"
"Year 1 Jan 02 5:00 PM","1.53780952986247"
"Year 1 Jan 02 6:00 PM","0"
"Year 1 Jan 02 7:00 PM","0"
"Year 1 Jan 02 8:00 PM","0"
"Year 1 Jan 02 9:00 PM","0"
"Year 1 Jan 02 10:00 PM","0"
"Year 1 Jan 02 11:00 PM","0"
"Year 1 Jan 03 12:00 AM","0"
"Year 1 Jan 03 1:00 AM","0"
"Year 1 Jan 03 2:00 AM","0"
"Year 1 Jan 03 3:00 AM","0"
"Year 1 Jan 03 4:00 AM","0"
"Year 1 Jan 03 5:00 AM","0"
"Year 1 Jan 03 6:00 AM","0"
"Year 1 Jan 03 7:00 AM","0"
"Year 1 Jan 03 8:00 AM","4.99393076056406"
"Year 1 Jan 03 9:00 AM","19.3252269601438"
"Year 1 Jan 03 10:00 AM","34.7452149815162"
"Year 1 Jan 03 11:00 AM","43.9634284680497"
"Year 1 Jan 03 12:00 PM","45.8911483242363"
"Year 1 Jan 03 1:00 PM","45.1806731953855"
"Year 1 Jan 03 2:00 PM","41.2701353852925"
"Year 1 Jan 03 3:00 PM","29.7689615551977"
"Year 1 Jan 03 4:00 PM","15.4295681759438"
"Year 1 Jan 03 5:00 PM","2.03124851539775"
"Year 1 Jan 03 6:00 PM","0"
"Year 1 Jan 03 7:00 PM","0"
"Year 1 Jan 03 8:00 PM","0"
"Year 1 Jan 03 9:00 PM","0"
"Year 1 Jan 03 10:00 PM","0"
"Year 1 Jan 03 11:00 PM","0"
"Year 1 Jan 04 12:00 AM","0"
"Year 1 Jan 04 1:00 AM","0"
"Year 1 Jan 04 2:00 AM","0"
"Year 1 Jan 04 3:00 AM","0"
"Year 1 Jan 04 4:00 AM","0"
"Year 1 Jan 04 5:00 AM","0"
"Year 1 Jan 04 6:00 AM","0"
"Year 1 Jan 04 7:00 AM","0"
"Year 1 Jan 04 8:00 AM","4.80007942805144"
"Year 1 Jan 04 9:00 AM","17.6965714524075"
"Year 1 Jan 04 10:00 AM","29.0448965390544"
"Year 1 Jan 04 11:00 AM","38.7975619134731"
"Year 1 Jan 04 12:00 PM","41.5666885831729"
"Year 1 Jan 04 1:00 PM","40.7280837969372"
"Year 1 Jan 04 2:00 PM","34.0253848908176"
"Year 1 Jan 04 3:00 PM","26.345415560253"
"Year 1 Jan 04 4:00 PM","13.1037759500676"
"Year 1 Jan 04 5:00 PM","1.83741385858966"
"Year 1 Jan 04 6:00 PM","0"
"Year 1 Jan 04 7:00 PM","0"
"Year 1 Jan 04 8:00 PM","0"
"Year 1 Jan 04 9:00 PM","0"
"Year 1 Jan 04 10:00 PM","0"
"Year 1 Jan 04 11:00 PM","0"
"Year 1 Jan 05 12:00 AM","0"
"Year 1 Jan 05 1:00 AM","0"
"Year 1 Jan 05 2:00 AM","0"
"Year 1 Jan 05 3:00 AM","0"
"Year 1 Jan 05 4:00 AM","0"
"Year 1 Jan 05 5:00 AM","0"
"Year 1 Jan 05 6:00 AM","0"
"Year 1 Jan 05 7:00 AM","0"
"Year 1 Jan 05 8:00 AM","4.96016691627186"
"Year 1 Jan 05 9:00 AM","14.5738109896397"
"Year 1 Jan 05 10:00 AM","18.4395792936505"
"Year 1 Jan 05 11:00 AM","20.3756528849061"
"Year 1 Jan 05 12:00 PM","21.306577961108"
"Year 1 Jan 05 1:00 PM","21.7301841704691"
"Year 1 Jan 05 2:00 PM","22.8064627060469"
"Year 1 Jan 05 3:00 PM","23.0261234986152"
"Year 1 Jan 05 4:00 PM","13.1495523440189"
"Year 1 Jan 05 5:00 PM","1.93092094688143"
"Year 1 Jan 05 6:00 PM","0"
"Year 1 Jan 05 7:00 PM","0"
"Year 1 Jan 05 8:00 PM","0"
"Year 1 Jan 05 9:00 PM","0"
"Year 1 Jan 05 10:00 PM","0"
"Year 1 Jan 05 11:00 PM","0"
"Year 1 Jan 06 12:00 AM","0"
"Year 1 Jan 06 1:00 AM","0"
"Year 1 Jan 06 2:00 AM","0"
"Year 1 Jan 06 3:00 AM","0"
"Year 1 Jan 06 4:00 AM","0"
"Year 1 Jan 06 5:00 AM","0"
"Year 1 Jan 06 6:00 AM","0"
"Year 1 Jan 06 7:00 AM","0"
"Year 1 Jan 06 8:00 AM","4.75004972932262"
"Year 1 Jan 06 9:00 AM","15.4247968565262"
"Year 1 Jan 06 10:00 AM","21.7905709090947"
"Year 1 Jan 06 11:00 AM","31.9938963772309"
"Year 1 Jan 06 12:00 PM","37.4312460833625"
"Year 1 Jan 06 1:00 PM","39.201100734546"
"Year 1 Jan 06 2:00 PM","30.0537802340178"
"Year 1 Jan 06 3:00 PM","26.3850017778822"
"Year 1 Jan 06 4:00 PM","16.2932496710695"
"Year 1 Jan 06 5:00 PM","2.26118811346442"
"Year 1 Jan 06 6:00 PM","0"
"Year 1 Jan 06 7:00 PM","0"
"Year 1 Jan 06 8:00 PM","0"
"Year 1 Jan 06 9:00 PM","0"
"Year 1 Jan 06 10:00 PM","0"
"Year 1 Jan 06 11:00 PM","0"
"Year 1 Jan 07 12:00 AM","0"
"Year 1 Jan 07 1:00 AM","0"
"Year 1 Jan 07 2:00 AM","0"
"Year 1 Jan 07 3:00 AM","0"
"Year 1 Jan 07 4:00 AM","0"
"Year 1 Jan 07 5:00 AM","0"
"Year 1 Jan 07 6:00 AM","0"
"Year 1 Jan 07 7:00 AM","0"
"Year 1 Jan 07 8:00 AM","4.0742820429325"
"Year 1 Jan 07 9:00 AM","11.8691886667578"
"Year 1 Jan 07 10:00 AM","16.6807037739398"
"Year 1 Jan 07 11:00 AM","19.1428882318675"
"Year 1 Jan 07 12:00 PM","20.0924197067044"
"Year 1 Jan 07 1:00 PM","19.971658911412"
"Year 1 Jan 07 2:00 PM","18.5405484421343"
"Year 1 Jan 07 3:00 PM","15.5542757049771"
"Year 1 Jan 07 4:00 PM","10.1699992230459"
"Year 1 Jan 07 5:00 PM","2.42913794200357"
"Year 1 Jan 07 6:00 PM","0"
"Year 1 Jan 07 7:00 PM","0"
"Year 1 Jan 07 8:00 PM","0"
"Year 1 Jan 07 9:00 PM","0"
"Year 1 Jan 07 10:00 PM","0"
"Year 1 Jan 07 11:00 PM","0"
"Year 1 Jan 08 12:00 AM","0"
"Year 1 Jan 08 1:00 AM","0"
"Year 1 Jan 08 2:00 AM","0"
"Year 1 Jan 08 3:00 AM","0"
"Year 1 Jan 08 4:00 AM","0"
"Year 1 Jan 08 5:00 AM","0"
"Year 1 Jan 08 6:00 AM","0"
"Year 1 Jan 08 7:00 AM","0"
"Year 1 Jan 08 8:00 AM","4.28602319503596"
"Year 1 Jan 08 9:00 AM","12.5418950213876"
"Year 1 Jan 08 10:00 AM","19.5376663931267"
"Year 1 Jan 08 11:00 AM","26.3510433958082"
"Year 1 Jan 08 12:00 PM","34.2471047659665"
"Year 1 Jan 08 1:00 PM","26.7614560834324"
"Year 1 Jan 08 2:00 PM","22.4215033404049"
"Year 1 Jan 08 3:00 PM","15.7345203149382"
"Year 1 Jan 08 4:00 PM","11.0224721831827"
"Year 1 Jan 08 5:00 PM","2.58420954819411"
"Year 1 Jan 08 6:00 PM","0"
"Year 1 Jan 08 7:00 PM","0"
"Year 1 Jan 08 8:00 PM","0"
"Year 1 Jan 08 9:00 PM","0"
"Year 1 Jan 08 10:00 PM","0"
"Year 1 Jan 08 11:00 PM","0"
"Year 1 Jan 09 12:00 AM","0"
"Year 1 Jan 09 1:00 AM","0"
"Year 1 Jan 09 2:00 AM","0"
"Year 1 Jan 09 3:00 AM","0"
"Year 1 Jan 09 4:00 AM","0"
"Year 1 Jan 09 5:00 AM","0"
"Year 1 Jan 09 6:00 AM","0"
"Year 1 Jan 09 7:00 AM","0"
"Year 1 Jan 09 8:00 AM","4.57916721992352"
"Year 1 Jan 09 9:00 AM","17.4499569992878"
"Year 1 Jan 09 10:00 AM","32.1284846133283"
"Year 1 Jan 09 11:00 AM","42.1763641588741"
"Year 1 Jan 09 12:00 PM","42.5109378539579"
"Year 1 Jan 09 1:00 PM","44.2535428994248"
"Year 1 Jan 09 2:00 PM","35.5917171956779"
"Year 1 Jan 09 3:00 PM","24.7649307813814"
"Year 1 Jan 09 4:00 PM","13.9518650054067"
"Year 1 Jan 09 5:00 PM","2.53007480757526"
"Year 1 Jan 09 6:00 PM","0"
"Year 1 Jan 09 7:00 PM","0"
"Year 1 Jan 09 8:00 PM","0"
"Year 1 Jan 09 9:00 PM","0"
"Year 1 Jan 09 10:00 PM","0"
"Year 1 Jan 09 11:00 PM","0"
"Year 1 Jan 10 12:00 AM","0"
"Year 1 Jan 10 1:00 AM","0"
"Year 1 Jan 10 2:00 AM","0"
"Year 1 Jan 10 3:00 AM","0"
"Year 1 Jan 10 4:00 AM","0"
"Year 1 Jan 10 5:00 AM","0"
"Year 1 Jan 10 6:00 AM","0"
"Year 1 Jan 10 7:00 AM","0"
"Year 1 Jan 10 8:00 AM","4.60189579679254"
"Year 1 Jan 10 9:00 AM","14.7710501968003"
"Year 1 Jan 10 10:00 AM","19.885657416805"
"Year 1 Jan 10 11:00 AM","22.7763343095427"
"Year 1 Jan 10 12:00 PM","25.8762768551201"
"Year 1 Jan 10 1:00 PM","25.7475492771534"
