1,"eplusout.eso"

"Date/Time","[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2)"
,"ZONE_0:F5"
"Year 1 Jan 01 1:00 AM","0"
"Year 1 Jan 01 2:00 AM","0"
"Year 1 Jan 01 3:00 AM","0"
"Year 1 Jan 01 4:00 AM","0"
"Year 1 Jan 01 5:00 AM","0"
"Year 1 Jan 01 6:00 AM","0"
"Year 1 Jan 01 7:00 AM","0"
"Year 1 Jan 01 8:00 AM","14.3652218058605"
"Year 1 Jan 01 9:00 AM","109.579531666082"
"Year 1 Jan 01 10:00 AM","233.586447692072"
"Year 1 Jan 01 11:00 AM","323.172706139114"
"Year 1 Jan 01 12:00 PM","307.439263955379"
"Year 1 Jan 01 1:00 PM","143.82456095657"
"Year 1 Jan 01 2:00 PM","71.1293925332095"
"Year 1 Jan 01 3:00 PM","43.0275739901209"
"Year 1 Jan 01 4:00 PM","21.1767139400484"
"Year 1 Jan 01 5:00 PM","2.56334291651056"
"Year 1 Jan 01 6:00 PM","0"
"Year 1 Jan 01 7:00 PM","0"
"Year 1 Jan 01 8:00 PM","0"
"Year 1 Jan 01 9:00 PM","0"
"Year 1 Jan 01 10:00 PM","0"
"Year 1 Jan 01 11:00 PM","0"
"Year 1 Jan 02 12:00 AM","0"
"Year 1 Jan 02 1:00 AM","0"
"Year 1 Jan 02 2:00 AM","0"
"Year 1 Jan 02 3:00 AM","0"
"Year 1 Jan 02 4:00 AM","0"
"Year 1 Jan 02 5:00 AM","0"
"Year 1 Jan 02 6:00 AM","0"
"Year 1 Jan 02 7:00 AM","0"
"Year 1 Jan 02 8:00 AM","6.56362173618138"
"Year 1 Jan 02 9:00 AM","32.3133296648157"
"Year 1 Jan 02 10:00 AM","70.5003157182111"
"Year 1 Jan 02 11:00 AM","83.1959790904696"
"Year 1 Jan 02 12:00 PM","106.018383733044"
"Year 1 Jan 02 1:00 PM","102.410734396319"
"Year 1 Jan 02 2:00 PM","80.2587091508735"
"Year 1 Jan 02 3:00 PM","58.059254457856"
"Year 1 Jan 02 4:00 PM","27.4981156759708"
"Year 1 Jan 02 5:00 PM","3.58766685387752"
"Year 1 Jan 02 6:00 PM","0"
"Year 1 Jan 02 7:00 PM","0"
"Year 1 Jan 02 8:00 PM","0"
"Year 1 Jan 02 9:00 PM","0"
"Year 1 Jan 02 10:00 PM","0"
"Year 1 Jan 02 11:00 PM","0"
"Year 1 Jan 03 12:00 AM","0"
"Year 1 Jan 03 1:00 AM","0"
"Year 1 Jan 03 2:00 AM","0"
"Year 1 Jan 03 3:00 AM","0"
"Year 1 Jan 03 4:00 AM","0"
"Year 1 Jan 03 5:00 AM","0"
