1,"eplusout (RUN PERIOD 1).eso"

"Date/Time","[1] Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area  (W/m2)"
,"ZN001:ROOF001"
"Year 1 Jan 01 1:00 AM","0"
"Year 1 Jan 01 2:00 AM","0"
"Year 1 Jan 01 3:00 AM","0"
"Year 1 Jan 01 4:00 AM","0"
"Year 1 Jan 01 5:00 AM","0"
"Year 1 Jan 01 6:00 AM","0"
"Year 1 Jan 01 7:00 AM","0"
"Year 1 Jan 01 8:00 AM","11.6344365846566"
"Year 1 Jan 01 9:00 AM","40.9199966738794"
"Year 1 Jan 01 10:00 AM","60.5008436901078"
"Year 1 Jan 01 11:00 AM","78.4115370770568"
"Year 1 Jan 01 12:00 PM","120.742858980599"
"Year 1 Jan 01 1:00 PM","133.613767918552"
"Year 1 Jan 01 2:00 PM","117.309821948061"
"Year 1 Jan 01 3:00 PM","69.4559005101436"
"Year 1 Jan 01 4:00 PM","30.043179485888"
"Year 1 Jan 01 5:00 PM","2.76988510693279"
"Year 1 Jan 01 6:00 PM","0"
"Year 1 Jan 01 7:00 PM","0"
"Year 1 Jan 01 8:00 PM","0"
"Year 1 Jan 01 9:00 PM","0"
"Year 1 Jan 01 10:00 PM","0"
"Year 1 Jan 01 11:00 PM","0"
"Year 1 Jan 02 12:00 AM","0"
"Year 1 Jan 02 1:00 AM","0"
"Year 1 Jan 02 2:00 AM","0"
"Year 1 Jan 02 3:00 AM","0"
"Year 1 Jan 02 4:00 AM","0"
"Year 1 Jan 02 5:00 AM","0"
"Year 1 Jan 02 6:00 AM","0"
"Year 1 Jan 02 7:00 AM","0"
"Year 1 Jan 02 8:00 AM","9.73008168121015"
"Year 1 Jan 02 9:00 AM","43.3910230982116"
"Year 1 Jan 02 10:00 AM","91.8898013234294"
"Year 1 Jan 02 11:00 AM","107.920952578397"
"Year 1 Jan 02 12:00 PM","135.580159306581"
"Year 1 Jan 02 1:00 PM","140.558613529126"
"Year 1 Jan 02 2:00 PM","123.480646939943"
"Year 1 Jan 02 3:00 PM","86.6486165985451"
"Year 1 Jan 02 4:00 PM","38.2878164457236"
"Year 1 Jan 02 5:00 PM","4.05317647043658"
"Year 1 Jan 02 6:00 PM","0"
"Year 1 Jan 02 7:00 PM","0"
"Year 1 Jan 02 8:00 PM","0"
"Year 1 Jan 02 9:00 PM","0"
"Year 1 Jan 02 10:00 PM","0"
"Year 1 Jan 02 11:00 PM","0"
"Year 1 Jan 03 12:00 AM","0"
"Year 1 Jan 03 1:00 AM","0"
"Year 1 Jan 03 2:00 AM","0"
"Year 1 Jan 03 3:00 AM","0"
"Year 1 Jan 03 4:00 AM","0"
"Year 1 Jan 03 5:00 AM","0"
"Year 1 Jan 03 6:00 AM","0"
"Year 1 Jan 03 7:00 AM","0"
"Year 1 Jan 03 8:00 AM","20.6282456992038"
"Year 1 Jan 03 9:00 AM","72.5892755586289"
"Year 1 Jan 03 10:00 AM","133.915020976228"
"Year 1 Jan 03 11:00 AM","167.613033864087"
"Year 1 Jan 03 12:00 PM","170.608100436152"
"Year 1 Jan 03 1:00 PM","167.83838505769"
"Year 1 Jan 03 2:00 PM","154.77050896442"
"Year 1 Jan 03 3:00 PM","108.482379411816"
"Year 1 Jan 03 4:00 PM","54.3474641073753"
"Year 1 Jan 03 5:00 PM","5.87152137421091"
"Year 1 Jan 03 6:00 PM","0"
"Year 1 Jan 03 7:00 PM","0"
"Year 1 Jan 03 8:00 PM","0"
"Year 1 Jan 03 9:00 PM","0"
"Year 1 Jan 03 10:00 PM","0"
"Year 1 Jan 03 11:00 PM","0"
"Year 1 Jan 04 12:00 AM","0"
"Year 1 Jan 04 1:00 AM","0"
"Year 1 Jan 04 2:00 AM","0"
"Year 1 Jan 04 3:00 AM","0"
"Year 1 Jan 04 4:00 AM","0"
"Year 1 Jan 04 5:00 AM","0"
"Year 1 Jan 04 6:00 AM","0"
"Year 1 Jan 04 7:00 AM","0"
"Year 1 Jan 04 8:00 AM","19.5334951003114"
"Year 1 Jan 04 9:00 AM","64.1539130421259"
"Year 1 Jan 04 10:00 AM","104.852311077374"
"Year 1 Jan 04 11:00 AM","141.36421355963"
"Year 1 Jan 04 12:00 PM","149.368134645603"
"Year 1 Jan 04 1:00 PM","145.348548938639"
"Year 1 Jan 04 2:00 PM","118.935990776229"
"Year 1 Jan 04 3:00 PM","92.0547571702596"
"Year 1 Jan 04 4:00 PM","43.4792288402144"
"Year 1 Jan 04 5:00 PM","5.01146219924631"
"Year 1 Jan 04 6:00 PM","0"
"Year 1 Jan 04 7:00 PM","0"
"Year 1 Jan 04 8:00 PM","0"
"Year 1 Jan 04 9:00 PM","0"
"Year 1 Jan 04 10:00 PM","0"
"Year 1 Jan 04 11:00 PM","0"
"Year 1 Jan 05 12:00 AM","0"
"Year 1 Jan 05 1:00 AM","0"
"Year 1 Jan 05 2:00 AM","0"
"Year 1 Jan 05 3:00 AM","0"
"Year 1 Jan 05 4:00 AM","0"
"Year 1 Jan 05 5:00 AM","0"
"Year 1 Jan 05 6:00 AM","0"
"Year 1 Jan 05 7:00 AM","0"
"Year 1 Jan 05 8:00 AM","16.8858703798077"
"Year 1 Jan 05 9:00 AM","40.4038738315951"
"Year 1 Jan 05 10:00 AM","48.336968731731"
"Year 1 Jan 05 11:00 AM","55.4869440163853"
"Year 1 Jan 05 12:00 PM","59.5021238490241"
"Year 1 Jan 05 1:00 PM","60.3954695638865"
"Year 1 Jan 05 2:00 PM","65.18211527299"
"Year 1 Jan 05 3:00 PM","67.1082796350207"
"Year 1 Jan 05 4:00 PM","38.8205289625941"
"Year 1 Jan 05 5:00 PM","4.46295849252668"
"Year 1 Jan 05 6:00 PM","0"
"Year 1 Jan 05 7:00 PM","0"
"Year 1 Jan 05 8:00 PM","0"
"Year 1 Jan 05 9:00 PM","0"
"Year 1 Jan 05 10:00 PM","0"
"Year 1 Jan 05 11:00 PM","0"
"Year 1 Jan 06 12:00 AM","0"
"Year 1 Jan 06 1:00 AM","0"
"Year 1 Jan 06 2:00 AM","0"
"Year 1 Jan 06 3:00 AM","0"
"Year 1 Jan 06 4:00 AM","0"
"Year 1 Jan 06 5:00 AM","0"
"Year 1 Jan 06 6:00 AM","0"
"Year 1 Jan 06 7:00 AM","0"
"Year 1 Jan 06 8:00 AM","15.6926102238789"
"Year 1 Jan 06 9:00 AM","42.3265426395568"
"Year 1 Jan 06 10:00 AM","64.5954046906053"
"Year 1 Jan 06 11:00 AM","108.064800699081"
"Year 1 Jan 06 12:00 PM","134.327556360694"
"Year 1 Jan 06 1:00 PM","141.970376920478"
"Year 1 Jan 06 2:00 PM","102.074424632311"
"Year 1 Jan 06 3:00 PM","91.2884618208769"
"Year 1 Jan 06 4:00 PM","54.796903352155"
"Year 1 Jan 06 5:00 PM","5.97163000136017"
"Year 1 Jan 06 6:00 PM","0"
"Year 1 Jan 06 7:00 PM","0"
"Year 1 Jan 06 8:00 PM","0"
"Year 1 Jan 06 9:00 PM","0"
"Year 1 Jan 06 10:00 PM","0"
"Year 1 Jan 06 11:00 PM","0"
"Year 1 Jan 07 12:00 AM","0"
"Year 1 Jan 07 1:00 AM","0"
"Year 1 Jan 07 2:00 AM","0"
"Year 1 Jan 07 3:00 AM","0"
"Year 1 Jan 07 4:00 AM","0"
"Year 1 Jan 07 5:00 AM","0"
"Year 1 Jan 07 6:00 AM","0"
"Year 1 Jan 07 7:00 AM","0"
"Year 1 Jan 07 8:00 AM","10.5947453319794"
"Year 1 Jan 07 9:00 AM","26.7974593180623"
"Year 1 Jan 07 10:00 AM","37.3313277125898"
"Year 1 Jan 07 11:00 AM","44.5671702254662"
"Year 1 Jan 07 12:00 PM","47.7155634773529"
"Year 1 Jan 07 1:00 PM","47.1059582559594"
"Year 1 Jan 07 2:00 PM","42.1859668310751"
"Year 1 Jan 07 3:00 PM","33.4919987045492"
"Year 1 Jan 07 4:00 PM","22.4642317132524"
"Year 1 Jan 07 5:00 PM","5.35535818583673"
"Year 1 Jan 07 6:00 PM","0"
"Year 1 Jan 07 7:00 PM","0"
"Year 1 Jan 07 8:00 PM","0"
"Year 1 Jan 07 9:00 PM","0"
"Year 1 Jan 07 10:00 PM","0"
"Year 1 Jan 07 11:00 PM","0"
"Year 1 Jan 08 12:00 AM","0"
"Year 1 Jan 08 1:00 AM","0"
"Year 1 Jan 08 2:00 AM","0"
"Year 1 Jan 08 3:00 AM","0"
"Year 1 Jan 08 4:00 AM","0"
"Year 1 Jan 08 5:00 AM","0"
"Year 1 Jan 08 6:00 AM","0"
"Year 1 Jan 08 7:00 AM","0"
"Year 1 Jan 08 8:00 AM","11.221596619354"
"Year 1 Jan 08 9:00 AM","30.8018438069348"
"Year 1 Jan 08 10:00 AM","56.8674362664934"
"Year 1 Jan 08 11:00 AM","82.3425319997485"
"Year 1 Jan 08 12:00 PM","108.730871435294"
"Year 1 Jan 08 1:00 PM","83.2476134645328"
"Year 1 Jan 08 2:00 PM","63.4932232293267"
"Year 1 Jan 08 3:00 PM","38.9722653062189"
"Year 1 Jan 08 4:00 PM","25.5445035705309"
"Year 1 Jan 08 5:00 PM","6.26504030767259"
"Year 1 Jan 08 6:00 PM","0"
"Year 1 Jan 08 7:00 PM","0"
"Year 1 Jan 08 8:00 PM","0"
"Year 1 Jan 08 9:00 PM","0"
"Year 1 Jan 08 10:00 PM","0"
"Year 1 Jan 08 11:00 PM","0"
"Year 1 Jan 09 12:00 AM","0"
"Year 1 Jan 09 1:00 AM","0"
"Year 1 Jan 09 2:00 AM","0"
"Year 1 Jan 09 3:00 AM","0"
"Year 1 Jan 09 4:00 AM","0"
"Year 1 Jan 09 5:00 AM","0"
"Year 1 Jan 09 6:00 AM","0"
"Year 1 Jan 09 7:00 AM","0"
"Year 1 Jan 09 8:00 AM","16.5789088755734"
"Year 1 Jan 09 9:00 AM","57.8012687816581"
"Year 1 Jan 09 10:00 AM","115.686345633842"
"Year 1 Jan 09 11:00 AM","160.659958927568"
"Year 1 Jan 09 12:00 PM","155.350361686691"
"Year 1 Jan 09 1:00 PM","163.165010351282"
"Year 1 Jan 09 2:00 PM","123.134110452476"
"Year 1 Jan 09 3:00 PM","77.2964831025587"
"Year 1 Jan 09 4:00 PM","41.2654430940808"
"Year 1 Jan 09 5:00 PM","7.21595825383438"
"Year 1 Jan 09 6:00 PM","0"
"Year 1 Jan 09 7:00 PM","0"
"Year 1 Jan 09 8:00 PM","0"
"Year 1 Jan 09 9:00 PM","0"
"Year 1 Jan 09 10:00 PM","0"
"Year 1 Jan 09 11:00 PM","0"
"Year 1 Jan 10 12:00 AM","0"
"Year 1 Jan 10 1:00 AM","0"
"Year 1 Jan 10 2:00 AM","0"
"Year 1 Jan 10 3:00 AM","0"
"Year 1 Jan 10 4:00 AM","0"
"Year 1 Jan 10 5:00 AM","0"
"Year 1 Jan 10 6:00 AM","0"
"Year 1 Jan 10 7:00 AM","0"
"Year 1 Jan 10 8:00 AM","14.3688792412076"
"Year 1 Jan 10 9:00 AM","40.7184297162834"
"Year 1 Jan 10 10:00 AM","58.4142548231967"
"Year 1 Jan 10 11:00 AM","70.4168673669142"
"Year 1 Jan 10 12:00 PM","74.1697208991129"
"Year 1 Jan 10 1:00 PM","73.6275519116159"
"Year 1 Jan 10 2:00 PM","67.243835640544"
